All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
Magna International Inc.;MGA;Auto Parts;5;478;-;-;98.71;1.54;0.3200;0.3800;18.75;3-12-14;3-14-14;3-28-14;C28;Canada,US$;1.52;20.32;14.1 ;13.20;12;7.48;0.87;0.57;2.22;17.50;11.0 ;15.2 ;108.7 ;15.1 ;18 ;20,567;4.9;0.11;0.140;2.333 ;16.4;35.9;15.2;6.5 ;1.280;;1.100;1.000;;0.510;0.090;0.630;0.575;0.760;0.760;0.740;0.680;0.680;0.680;0.600;0.445;10.530;16.4;10.0;96.1;466.7;0.0;9.6;0.0;0.0;2.7;8.8;0.0;0.0;13.3;34.8;47.0;118.9;Consumer Discretionary;3.6 ;16.8 ;75.8;1.41;1.55;1.70;1.87;2.06;8.60;8.7;1.19 ;31.7 ;(13.8);(3.1);(1.2)
Maiden Holdings Ltd.;MHLD;Insurance;6;429;-;-;11.95;3.68;0.0900;0.1100;22.22;12-30-13;1-2-14;1-15-14;A15;Bermuda,US$;0.44;53.01;(21.2);14.40;12;0.83;1.20;0.40;0.97;7.60;79.7 ;20.3 ;29.2 ;12.0 ;6 ;871;0.6;0.40;1.000;n/a;12.5;11.5;29.2;n/a;0.360;;0.320;0.290;;0.260;0.240;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.570;12.5;10.3;11.5;8.3;140.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.1;35.5;Financials;18.5 ;32.9 ;67.6;0.40;0.44;0.48;0.53;0.58;2.42;20.2;0.67 ;19.8 ;(8.9);2.6 ;2.2 
Marathon Oil Corp.;MRO;Oil&Gas;5;526;N;N;35.40;2.37;0.1900;0.2100;10.53;8-18-14;8-20-14;9-10-14;C10;;0.84;34.85;(11.5);14.69;12;2.41;2.27;1.78;1.20;13.50;(0.9);(23.7);(13.9);6.5 ;24 ;23,877;0.1;0.32;n/a;0.485 ;5.9;6.8;4.7;9.7 ;0.720;;0.680;0.598;;0.591;0.573;0.573;0.549;0.456;0.379;0.307;0.286;0.274;0.274;0.262;0.251;6.773;5.9;13.7;1.3;3.1;0.0;4.3;20.3;20.5;23.3;7.3;4.3;0.0;4.5;4.8;8.1;7.7;Energy;(7.6);7.1 ;59.2;0.73;0.73;0.78;0.83;0.89;3.96;11.2;1.42 ;14.0 ;(15.6);(5.8);(2.8)
MarketAxess Holdings Inc.;MKTX;Financial Services;6;431;-;-;64.65;0.99;0.1300;0.1600;23.08;2-11-14;2-13-14;2-27-14;B27;;0.64;35.36;240.7 ;35.72;12;1.81;1.79;9.59;7.31;23.90;11.0 ;13.7 ;52.4 ;20.0 ;7 ;2,425;3.6;0.00;n/a;n/a;18.2;22.9;n/a;n/a;0.520;;0.440;0.360;;0.280;0.070;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.670;18.2;22.2;28.6;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.4;76.5;Financials;n/a;n/a;54.1;0.57;0.63;0.69;0.76;0.84;3.49;5.4;0.74 ;37.2 ;(9.0);5.8 ;12.2 
Marketing Alliance Inc.;MAAL;Insurance;9;354;-;-;4.67;7.71;0.3167;0.3600;13.68;12-18-13;12-20-13;1-31-14;Jan;Annual,FY Streak;0.36;257.14;83.0 ;33.36;3;0.14;n/a;1.26;2.26;n/a;n/a;n/a;n/a;n/a;0 ;28;n/a;n/a;n/a;2.532 ;20.0;21.5;19.0;7.5 ;0.317;#;0.264;0.215;;0.177;0.145;0.133;0.107;0.095;0.076;0.175;0.153;0.000;0.000;0.000;0.000;1.856;20.0;22.9;21.4;21.7;9.5;23.5;13.3;25.0;0.0;14.3;0.0;0.0;0.0;0.0;12.3;10.0;Financials;(6.6);26.7 ;44.3;0.33;0.34;0.35;0.36;0.37;1.73;37.1;n/a;28.0 ;(41.6);0.9 ;(6.5)
Marriott International Inc.;MAR;Lodging;5;509;Y;Y;75.75;1.06;0.1700;0.2000;17.65;5-21-14;5-23-14;6-27-14;C27;;0.80;35.87;n/a;33.97;12;2.23;2.02;1.67;n/a;-43.80;16.3 ;19.1 ;15.6 ;16.9 ;30 ;22,011;6.4;n/a;0.972;0.912 ;30.6;48.3;15.2;16.6 ;0.640;;0.490;0.376;;0.196;0.082;0.316;0.268;0.225;0.186;0.154;0.138;0.128;0.119;0.112;0.077;3.507;30.6;30.5;91.6;139.0;0.0;17.7;19.3;20.8;21.2;11.9;7.3;7.8;6.2;44.6;32.0;36.9;Consumer Discretionary;(17.8);16.2 ;71.7;0.70;0.77;0.85;0.94;1.03;4.30;5.7;1.30 ;74.1 ;(0.7);9.8 ;24.5 
Marsh & McLennan Companies Inc.;MMC;Insurance;5;519;Y;Y;54.37;2.06;0.2500;0.2800;12.00;7-9-14;7-11-14;8-15-14;B15;;1.12;43.41;85.1 ;21.07;12;2.58;1.74;2.35;3.66;18.40;13.1 ;11.0 ;28.2 ;12.1 ;22 ;29,595;0.1;0.43;0.132;n/a;6.7;5.8;3.7;(2.0);0.960;;0.900;0.860;;0.810;0.800;0.800;0.760;0.680;0.680;1.300;1.180;1.090;1.030;0.960;0.850;13.660;6.7;4.7;6.2;1.3;0.0;5.3;11.8;0.0;0.0;10.2;8.3;5.8;7.3;12.9;5.7;4.1;Financials;(15.3);5.8 ;58.3;1.06;1.16;1.28;1.41;1.55;6.45;11.9;0.76 ;24.9 ;1.4 ;4.8 ;9.4 
Mattel Inc.;MAT;Recreation;5;465;N;Y;31.07;4.89;0.3600;0.3800;5.56;2-18-14;2-20-14;3-7-14;C07;;1.52;72.73;50.5 ;14.87;12;2.09;n/a;1.71;3.43;23.10;16.2 ;8.9 ;19.9 ;(5.1);17 ;10,497;0.3;0.70;0.700;1.020 ;16.1;20.2;13.9;13.7 ;1.440;;1.240;0.920;;0.830;0.750;0.750;0.750;0.650;0.500;0.450;0.400;0.050;0.140;0.360;0.340;9.570;16.1;34.8;10.8;10.7;0.0;0.0;15.4;30.0;11.1;12.5;700.0;0.0;0.0;5.9;60.5;177.7;Consumer Discretionary;4.0 ;18.8 ;60.9;1.58;1.73;1.74;1.76;1.78;8.59;27.6;0.74 ;8.4 ;(33.1);(3.9);(14.2)
Matthews International;MATW;Business Equipment;19;154;-;-;46.08;0.95;0.1000;0.1100;10.00;11-21-13;11-25-13;12-9-13;C09;;0.44;22.92;51.4 ;24.00;9;1.92;2.18;1.50;2.15;10.70;0.0 ;9.4 ;(4.9);11.0 ;4 ;1,513;2.3;0.63;n/a;0.854 ;10.8;12.2;10.8;12.7 ;0.410;;0.370;0.330;;0.290;0.265;0.245;0.225;0.205;0.185;0.165;0.124;0.106;0.101;0.097;0.092;3.210;10.8;12.1;13.8;9.4;8.2;8.9;9.8;10.8;12.1;33.1;17.0;5.0;4.1;6.0;11.5;6.8;Consumer Discretionary;(12.2);11.8 ;70.9;0.41;0.45;0.49;0.54;0.60;2.49;5.4;1.11 ;24.9 ;(3.2);2.8 ;9.0 
Maxim Integrated Products;MXIM;Technology-Hardware;13;224;-;-;29.34;3.82;0.2600;0.2800;7.69;8-19-14;8-21-14;9-4-14;C04;;1.12;91.06;90.4 ;23.85;6;1.23;2.42;3.39;3.42;14.80;(18.5);20.6 ;110.2 ;9.9 ;23 ;8,324;0.3;0.41;0.047;0.320 ;8.7;6.8;5.2;16.3 ;1.000;;0.920;0.860;;0.820;0.800;0.775;0.688;0.563;0.425;0.340;0.220;0.020;0.000;0.000;0.000;7.430;8.7;7.0;4.9;2.5;3.2;12.7;22.2;32.4;25.0;54.5;1000.0;0.0;0.0;0.0;83.8;254.6;Information Tech;(14.8);9.0 ;55.8;1.01;1.11;1.22;1.34;1.47;6.16;21.0;1.12 ;16.1 ;(17.2);(0.6);(6.0)
McCormick & Co.;MKC;Food Processing;28;93;N;N;70.72;2.09;0.3400;0.3700;8.82;12-27-13;12-31-13;1-14-14;A14;Also MKCV;1.48;46.54;115.3 ;22.24;11;3.18;2.59;2.16;4.69;21.50;(4.3);7.1 ;8.4 ;8.6 ;16 ;9,159;0.2;0.70;1.083;0.794 ;9.7;9.4;9.1;11.4;1.360;;1.240;1.120;;1.040;0.960;0.880;0.800;0.720;0.640;0.560;0.460;0.420;0.400;0.380;0.340;11.320;9.7;10.7;7.7;8.3;9.1;10.0;11.1;12.5;14.3;21.7;9.5;5.0;5.3;11.8;10.5;4.0;Consumer Staples;(11.0);11.2 ;68.5;1.37;1.47;1.60;1.74;1.88;8.06;11.4;0.50 ;14.5 ;(2.5);4.0 ;3.4 
McDonald's Corp.;MCD;Restaurants;39;62;N;Y;93.73;3.63;0.8100;0.8500;4.94;11-26-14;12-1-14;12-15-14;C15;;3.40;66.80;116.2 ;18.41;12;5.09;3.39;3.29;5.71;31.90;3.5 ;6.9 ;8.1 ;5.4 ;33 ;92,036;0.0;0.96;1.720;0.611 ;8.7;11.3;13.9;22.8;3.120;;2.870;2.530;;2.260;2.050;1.625;1.500;1.000;0.670;0.550;0.400;0.235;0.225;0.215;0.195;19.445;8.7;13.4;11.9;10.2;26.2;8.3;50.0;49.3;21.8;37.5;70.2;4.4;4.7;10.3;23.4;19.8;Consumer Discretionary;(0.9);17.6 ;66.1;3.23;3.45;3.64;3.84;4.04;18.20;19.4;0.37 ;4.9 ;(8.2);0.8 ;(2.1)
McGrath Rentcorp;MGRC;Business Services;22;116;-;-;36.53;2.68;0.2400;0.2450;2.08;4-14-14;4-16-14;4-30-14;A30;;0.98;60.49;52.8 ;22.55;12;1.62;2.25;2.45;2.33;10.60;(6.2);15.7 ;(0.6);10.0 ;3 ;948;0.7;0.76;n/a;0.441 ;2.1;2.2;4.1;9.4 ;0.955;;0.935;0.915;;0.895;0.860;0.780;0.700;0.620;0.530;0.430;0.390;0.340;0.310;0.270;0.230;9.160;2.1;2.2;2.2;4.1;10.3;11.4;12.9;17.0;23.3;10.3;14.7;9.7;14.8;17.4;10.9;6.2;Industrials;(15.7);6.8 ;51.0;0.96;1.06;1.17;1.28;1.41;5.89;16.1;1.07 ;27.6 ;(6.6);3.2 ;5.1 
McGraw Hill Financial Inc.;MHFI;Publishing;41;50;N;N;90.48;1.33;0.2800;0.3000;7.14;2-24-14;2-26-14;3-12-14;C12;;1.20;35.09;347.6 ;26.46;12;3.42;1.79;4.88;17.04;72.90;21.8 ;13.1 ;2.9 ;14.8 ;8 ;24,511;0.7;0.55;1.704;0.653 ;9.8;6.0;4.9;7.6;1.120;;1.020;1.000;;0.940;0.900;0.880;0.820;0.726;0.660;0.600;0.540;0.510;0.490;0.470;0.430;11.106;9.8;2.0;6.4;4.4;2.3;7.3;12.9;10.0;10.0;11.1;5.9;4.1;4.3;9.3;7.1;3.3;Financials;(20.2);6.3 ;68.9;1.23;1.36;1.49;1.64;1.80;7.52;8.3;1.10 ;32.8 ;1.2 ;9.1 ;13.5 
McKesson Corp.;MCK;Drugs;7;398;Y;Y;203.41;0.47;0.2000;0.2400;20.00;8-29-13;9-3-13;10-1-13;A01;2014=Year 7;0.96;16.55;185.5 ;35.07;3;5.80;2.23;0.32;5.23;14.80;3.4 ;16.6 ;14.6 ;15.8 ;15 ;47,110;0.3;1.19;1.092;1.149 ;10.0;10.1;15.9;13.9 ;0.880;;0.800;0.780;;0.660;0.480;0.420;0.240;0.240;0.240;0.240;0.240;0.240;0.240;0.240;0.240;6.180;10.0;2.6;18.2;37.5;14.3;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.3;20.5;Health Care;(18.7);16.4 ;71.2;0.91;1.00;1.10;1.21;1.33;5.56;2.7;0.72 ;32.8 ;(0.7);4.3 ;10.7 
MDU Resources;MDU;Utility-Gas;23;108;N;N;28.18;2.52;0.1725;0.1775;2.90;12-10-13;12-12-13;1-1-14;A01;;0.71;47.33;22.9 ;18.79;12;1.50;2.67;1.19;1.81;10.00;(3.3);15.3 ;(1.6);7.0 ;10 ;5,466;0.1;0.73;n/a;0.668 ;3.0;3.1;3.2;4.8 ;0.690;#;0.670;0.650;;0.630;0.620;0.590;0.550;0.515;0.487;0.460;0.433;0.413;0.396;0.378;0.360;7.842;3.0;3.1;3.2;1.6;5.1;7.3;6.8;5.8;5.8;6.2;4.8;4.5;4.7;4.9;4.8;1.5;Utilities;(13.1);5.7 ;54.3;0.70;0.77;0.82;0.88;0.94;4.10;14.6;0.86 ;12.8 ;(21.0);(1.7);(11.9)
Mead Johnson Nutrition Co.;MJN;Consumer Products;6;433;-;-;99.31;1.51;0.3400;0.3750;10.29;3-13-14;3-17-14;4-1-14;A01;;1.50;44.25;675.5 ;29.29;12;3.39;2.84;4.63;46.19;214.50;7.8 ;12.0 ;6.6 ;10.3 ;18 ;20,064;0.1;4.63;n/a;n/a;13.8;14.7;n/a;n/a;1.320;;1.160;1.005;;0.875;0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.860;13.8;15.4;14.9;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;19.4;Consumer Staples;n/a;n/a;53.4;1.42;1.57;1.72;1.89;2.08;8.69;8.7;0.67 ;37.3 ;(5.3);2.6 ;12.1 
Medtronic Inc.;MDT;Medical Devices;37;68;Y;Y;68.16;1.79;0.2800;0.3050;8.93;7-1-14;7-3-14;7-25-14;A25;To Be ADR-Ire.;1.22;41.22;89.8 ;23.03;4;2.96;3.51;3.88;3.52;20.50;(10.4);7.4 ;10.4 ;6.6 ;25 ;66,764;0.2;0.67;1.112;0.777 ;6.9;7.9;11.6;14.9;1.080;;1.010;0.935;;0.860;0.785;0.625;0.470;0.413;0.360;0.313;0.270;0.240;0.215;0.180;0.145;7.900;6.9;8.0;8.7;9.6;25.6;33.0;13.9;14.6;15.2;15.7;12.5;11.6;19.4;24.1;15.6;7.2;Health Care;(9.7);13.3 ;66.0;1.09;1.17;1.25;1.33;1.42;6.26;9.2;1.09 ;29.7 ;0.6 ;6.1 ;12.0 
Mercury General Corp.;MCY;Insurance;27;99;-;-;53.12;4.63;0.6125;0.6150;0.41;12-10-13;12-12-13;12-26-13;C26;;2.46;60.74;(5.9);13.12;12;4.05;6.25;0.97;1.52;12.00;(4.2);(1.6);19.7 ;2.1 ;6 ;2,921;51.1;0.14;0.057;0.175 ;0.4;1.1;1.1;6.4;2.453;;2.443;2.410;;2.370;2.330;2.320;2.080;1.920;1.720;1.480;1.320;1.200;1.060;0.960;0.840;26.905;0.4;1.3;1.7;1.7;0.4;11.5;8.3;11.6;16.2;12.1;10.0;13.2;10.4;14.3;8.1;5.5;Financials;(7.4);5.7 ;38.3;2.48;2.50;2.55;2.61;2.66;12.80;24.1;0.49 ;32.4 ;(0.0);6.3 ;13.6 
Meredith Corp.;MDP;Publishing;21;130;-;-;52.14;3.32;0.4075;0.4325;6.13;2-26-14;2-28-14;3-14-14;C14;;1.73;66.03;50.8 ;19.90;6;2.62;1.33;1.56;2.57;13.50;(8.8);(4.4);25.5 ;15.0 ;7 ;2,321;0.7;0.80;0.535;0.870 ;6.5;21.0;13.6;15.7 ;1.630;;1.530;1.148;;0.920;0.900;0.860;0.740;0.640;0.560;0.480;0.380;0.360;0.340;0.320;0.300;11.108;6.5;33.3;24.7;2.2;4.7;16.2;15.6;14.3;16.7;26.3;5.6;5.9;6.3;6.7;13.2;9.2;Consumer Discretionary;(2.9);17.0 ;59.8;1.65;1.66;1.83;2.01;2.21;9.36;18.0;1.09 ;33.7 ;(0.0);13.6 ;15.4 
Mesa Laboratories Inc.;MLAB;Medical Instruments;12;267;-;-;76.37;0.84;0.1500;0.1600;6.67;11-25-14;11-28-14;12-15-14;C15;;0.64;25.81;134.9 ;30.79;3;2.48;n/a;4.63;4.03;14.60;6.0 ;19.5 ;11.0 ;n/a;1 ;268;4.5;0.42;0.667;0.266 ;7.5;8.2;7.3;27.6 ;0.570;;0.530;0.490;;0.450;0.410;0.400;0.320;0.290;0.250;0.210;0.050;0.000;0.000;0.000;0.000;3.970;7.5;8.2;8.9;9.8;2.5;25.0;10.3;16.0;19.0;320.0;0.0;0.0;0.0;0.0;30.5;80.6;Information Tech;(22.6);8.2 ;52.2;0.60;0.66;0.68;0.71;0.73;3.38;4.4;0.57 ;39.9 ;(20.1);16.7 ;(2.4)
MGE Energy Inc.;MGEE;Utility-Electric/Gas;39;61;N;N;44.47;2.54;0.2717;0.2825;3.96;8-27-14;9-1-14;9-15-14;C15;;1.13;55.39;52.8 ;21.80;12;2.04;5.45;2.43;2.41;12.80;(22.6);4.8 ;(1.8);4.0 ;2 ;1,542;0.2;0.63;n/a;1.300 ;3.2;2.6;2.3;1.8;1.070;;1.037;1.010;;0.990;0.973;0.956;0.938;0.924;0.916;0.907;0.899;0.892;0.885;0.877;0.867;14.141;3.2;2.6;2.0;1.7;1.9;1.9;1.4;0.9;1.0;0.9;0.7;0.8;1.0;1.2;1.5;0.7;Utilities;(17.0);4.8 ;43.0;1.08;1.13;1.18;1.22;1.27;5.89;13.2;0.51 ;28.0 ;0.6 ;11.9 ;15.9 
Microchip Technology Inc.;MCHP;Technology-Hardware;13;229;-;-;43.11;3.31;0.3560;0.3565;0.14;11-19-14;11-21-14;12-5-14;C05;&;1.43;77.50;103.6 ;23.43;3;1.84;1.63;4.33;3.98;19.40;193.5 ;9.8 ;6.8 ;14.4 ;16 ;8,639;2.6;0.62;0.190;0.042 ;0.9;1.1;1.3;30.6 ;1.415;;1.402;1.386;#;1.370;1.357;1.327;1.150;0.890;0.450;0.173;0.098;0.020;0.000;0.000;0.000;11.038;0.9;1.2;1.2;1.0;2.3;15.4;29.2;97.8;160.1;76.5;390.0;0.0;0.0;0.0;55.4;104.0;Information Tech;(18.8);4.6 ;48.2;1.56;1.71;1.88;2.07;2.27;9.49;22.0;1.15 ;16.8 ;(13.2);(4.9);(6.6)
Microsoft Corp.;MSFT;Technology-Software;12;266;N;Y;46.95;2.64;0.2800;0.3100;10.71;11-18-14;11-20-14;12-11-14;C11;FY Streak;1.24;48.63;87.6 ;18.41;6;2.55;2.83;4.23;4.30;24.30;1.9 ;17.1 ;10.2 ;6.5 ;37 ;387,002;7.7;0.26;1.578;1.074 ;16.9;20.8;16.1;15.0 ;0.970;;0.830;0.680;;0.550;0.520;0.460;0.410;0.370;0.320;0.160;0.240;0.000;0.000;0.000;0.000;5.510;16.9;22.1;23.6;5.8;13.0;12.2;10.8;15.6;100.0;0.0;0.0;0.0;0.0;0.0;15.7;24.8;Information Tech;0.3 ;18.7 ;69.4;0.99;1.09;1.16;1.23;1.31;5.78;12.3;1.00 ;38.4 ;(1.3);2.8 ;13.7 
Middlesex Water Co.;MSEX;Utility-Water;42;46;N;N;22.55;3.41;0.1900;0.1925;1.32;11-12-14;11-14-14;12-1-14;C01;;0.77;74.04;34.6 ;21.68;12;1.04;8.03;3.15;1.88;8.90;14.6 ;6.7 ;2.8 ;2.7 ;2 ;362;2.7;0.86;0.495;0.926 ;1.3;1.4;1.4;1.5;0.753;;0.743;0.733;;0.723;0.713;0.703;0.693;0.683;0.673;0.663;0.649;0.634;0.623;0.613;0.595;10.188;1.3;1.4;1.4;1.4;1.4;1.4;1.5;1.5;1.5;2.1;2.4;1.8;1.6;2.9;1.7;0.5;Utilities;(16.9);4.8 ;42.4;0.83;0.88;0.91;0.93;0.96;4.51;20.0;0.66 ;21.7 ;0.6 ;10.5 ;11.1 
Miller Industries Inc.;MLR;Auto Parts;5;475;-;-;19.77;3.03;0.1400;0.1500;7.14;3-13-14;3-17-14;3-24-14;C24;;0.60;63.16;11.7 ;20.81;12;0.95;n/a;0.51;1.35;6.60;1.2 ;0.0 ;21.5 ;n/a;0 ;223;0.6;0.00;n/a;n/a;7.7;77.6;n/a;n/a;0.560;;0.520;0.480;;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.660;7.7;8.3;380.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.3;97.6;Consumer Discretionary;n/a;n/a;38.5;0.57;0.57;0.58;0.60;0.62;2.94;14.9;0.85 ;23.8 ;(7.1);9.5 ;5.2 
Minden Bancorp Inc.;MDNB;Banking;12;237;-;-;19.00;2.00;0.0850;0.0950;11.76;1-22-14;1-24-14;2-3-14;B04;De-registering?;0.38;25.85;(23.8);12.93;12;1.47;n/a;4.43;1.01;n/a;n/a;n/a;n/a;n/a;0 ;43;n/a;n/a;n/a;0.555 ;13.3;10.4;8.2;14.7 ;0.340;#;0.300;0.258;;0.253;0.247;0.230;0.224;0.201;0.178;0.149;0.086;0.000;0.000;0.000;0.000;2.465;13.3;16.2;2.2;2.3;7.5;2.6;11.4;12.9;19.2;73.3;0.0;0.0;0.0;0.0;11.5;18.3;Financials;(2.7);10.2 ;53.6;0.35;0.36;0.37;0.38;0.39;1.86;9.8;n/a;15.2 ;(1.3);0.5 ;6.3 
MOCON Inc.;MOCO;Scientific Instruments;12;233;N;N;15.21;2.89;0.1050;0.1100;4.76;5-1-13;5-3-13;5-17-13;B17;2014=Year 12;0.44;68.75;54.2 ;23.77;12;0.64;n/a;1.44;2.25;9.90;74.3 ;0.0 ;(3.3);n/a;0 ;86;3.7;0.20;n/a;1.035 ;4.8;5.1;5.7;5.5 ;0.435;;0.415;0.395;;0.375;0.360;0.330;0.310;0.300;0.280;0.260;0.255;0.240;0.240;0.215;0.200;4.610;4.8;5.1;5.3;4.2;9.1;6.5;3.3;7.1;7.7;2.0;6.3;0.0;11.6;7.5;5.7;2.8;Information Tech;(15.2);8.6 ;45.7;0.48;0.48;0.49;0.51;0.52;2.48;16.3;0.26 ;21.7 ;(11.2);0.9 ;(3.3)
Monarch Financial Holdings Inc.;MNRK;Banking;5;505;-;-;12.70;2.52;0.0700;0.0800;14.29;5-21-14;5-23-14;6-13-14;C13;;0.32;32.00;(14.0);12.70;12;1.00;n/a;3.20;1.31;10.40;(13.6);9.6 ;44.7 ;n/a;1 ;135;3.6;0.10;n/a;n/a;51.3;27.2;n/a;n/a;0.240;;0.159;0.133;;0.117;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.649;51.3;19.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;13.8;Financials;n/a;n/a;44.4;0.24;0.27;0.27;0.28;0.29;1.35;10.7;0.57 ;18.5 ;(1.3);3.3 ;8.3 
Monro Muffler Brake Inc.;MNRO;Automotive;10;322;-;-;53.44;0.97;0.1100;0.1300;18.18;5-29-14;6-2-14;6-12-14;C12;;0.52;29.55;129.7 ;30.36;3;1.76;1.52;2.00;3.91;14.00;26.7 ;22.3 ;15.7 ;20.0 ;8 ;1,686;4.1;0.45;1.393;n/a;10.3;20.4;21.9;n/a;0.430;#;0.390;0.340;;0.247;0.180;0.160;0.142;0.107;0.044;0.000;0.000;0.000;0.000;0.000;0.000;2.040;10.3;14.7;37.8;37.0;12.5;12.5;33.3;140.0;0.0;0.0;0.0;0.0;0.0;0.0;21.3;35.7;Consumer Discretionary;(7.5);22.8 ;66.2;0.47;0.52;0.57;0.63;0.69;2.89;5.4;0.47 ;19.7 ;(13.4);6.1 ;(0.5)
Monsanto Company;MON;Agriculture;14;210;Y;Y;115.04;1.70;0.4300;0.4900;13.95;10-8-14;10-10-14;10-31-14;A31;;1.96;38.21;171.2 ;22.42;8;5.13;1.93;3.81;7.38;22.50;13.5 ;16.0 ;6.8 ;11.6 ;26 ;60,349;0.2;0.99;1.967;0.667 ;22.0;13.1;13.4;20.1 ;1.555;;1.275;1.140;;1.075;1.035;0.830;0.550;0.400;0.340;0.275;0.250;0.240;0.225;0.000;0.000;9.190;22.0;11.8;6.0;3.9;24.7;50.9;37.5;17.6;23.6;10.0;4.2;6.7;0.0;0.0;15.6;14.4;Materials;(7.3);15.1 ;74.1;1.71;1.88;2.07;2.28;2.50;10.44;9.1;1.42 ;13.6 ;(10.0);2.2 ;1.0 
Montpelier Re Holdings Ltd.;MRH;Insurance;5;543;-;-;33.14;2.41;0.1250;0.2000;60.00;9-26-14;9-30-14;10-15-14;A15;Bermuda,US$,&;0.80;15.72;(45.9);6.51;12;5.09;n/a;2.31;1.01;16.50;(1.6);(24.6);32.8 ;(7.4);7 ;1,515;1.7;0.26;0.272;n/a;9.5;8.5;8.9;n/a;0.460;;0.420;0.400;;0.360;0.300;0.300;0.300;0.300;1.420;1.360;0.000;0.000;0.000;0.000;0.000;5.620;9.5;5.0;11.1;20.0;0.0;0.0;0.0;0.0;4.4;0.0;0.0;0.0;0.0;0.0;3.6;5.9;Financials;4.8 ;11.3 ;46.5;0.46;0.47;0.47;0.48;0.48;2.37;7.2;0.53 ;26.8 ;(0.1);5.0 ;9.5 
Moody's Corp.;MCO;Financial Services;5;467;-;-;99.23;1.13;0.2500;0.2800;12.00;2-18-14;2-20-14;3-10-14;C10;;1.12;25.28;558.2 ;22.40;12;4.43;1.62;6.48;43.52;232.80;18.0 ;14.0 ;14.0 ;13.8 ;11 ;20,957;0.3;5.28;1.258;0.680 ;40.6;28.9;17.6;25.9 ;0.900;;0.640;0.535;;0.420;0.400;0.400;0.320;0.280;0.203;0.150;0.090;0.090;0.090;0.023;0.000;4.540;40.6;19.6;27.4;5.0;0.0;25.0;14.3;38.3;35.0;66.7;0.0;0.0;300.0;0.0;40.8;74.4;Information Tech;(3.7);18.7 ;67.5;0.99;1.09;1.20;1.32;1.45;6.04;6.1;1.50 ;43.7 ;0.7 ;5.6 ;16.3 
